Name,Price,Designs,Material,Color,Warranty,Seater,Armrest,Shape,Brand,Length (Cm),Breadth (Cm),Height (Cm),Ratings,Sold Count
Snowflake Living Room Curved Sofa With Cushions,199989,Modern,Cotton,White,0,5,Yes,Curved,Wooden Street,335.8,98.3,67.3,0,0
Sydney Living Room Curved Sofa With Cushions,139989,Contemporary,Cotton,White,0,5,Yes,Curved,Wooden Street,294.6,88.9,68.6,0,0
"Cosmos L- Shape Sectional Sofa Set with 2 Lounge Chairs and 4 Cushions
(Cranberry Collection)",125988,Modern,Cotton,Red,36,4,0,0,Wooden Street,309.9,81.3,73.7,4.5,27
"Cosmos L- Shape Sectional Sofa Set with 2 Lounge Chairs and 4 Cushions
(Cobalt Collection)",125988,Modern,Cotton,Blue,36,4,0,0,Wooden Street,309.9,81.3,73.7,4.5,27
"Cosmos L- Shape Sectional Sofa Set with 2 Lounge Chairs and 4 Cushions
(Scarlet Collection)",122989,Modern,Velvet,Green,36,4,0,0,Wooden Street,309.9,81.3,73.7,4.5,27
"Gracious L- Shape Right Aligned Fabric Sofa
(Leatherette, Grey)",119999,Modern,Leatherette,Grey,36,0,0,L Shape,Wooden Street,269.7,99.3,66.8,5,15
Cabriole 5 Seater Curved Fabric Sofa,96989,Modern,Cotton,Cream,36,5,Yes,Curved,Wooden Street,279.4,81.3,73.7,0,0
Alaska 3 Seater Living Room Sofa Set with 2 Lounge Chairs,92989,Modern,Cotton,Cream,36,4,0,0,Wooden Street,238.8,83.8,76.2,5,5
Alisa 3 Seater Living Room Sofa Set with 2 Arm Chairs,90969,Modern,Cotton,Cream,36,4,0,0,Wooden Street,238.8,83.8,76.2,0,0
"Sapphire 3 Seater Living Room Sofa with 2 Lounge Chairs and 4 Cushions
(Pearl Collection)",90969,Modern,Cotton,Cream,36,4,0,0,Wooden Street,238.8,83.8,76.2,4.5,36
"Sapphire 3 Seater Living Room Sofa with 2 Lounge Chairs and 4 Cushions
(Skyline Collection)",89989,Modern,Cotton,Blue,36,4,0,0,Wooden Street,238.8,83.8,76.2,4.5,36
Vanisa 3 Seater Living Room Sofa Set with 2 Arm Chairs and 6 Cushions,87989,Contemporary,Cotton,Cream,36,4,0,0,Wooden Street,208.3,80.0,76.2,4.6,55
"Berlin Fabric Sofa Set
(Graphite Grey)",86987,Chesterfield,Velvet,Grey,36,4,Yes,0,Wooden Street,182.9,72.4,76.2,5,5
"Berlin Fabric Sofa Set
(Indigo Blue)",86987,Chesterfield,Velvet,Blue,36,4,Yes,0,Wooden Street,182.9,72.4,76.2,5,5
"Berlin Fabric Sofa Set
(Chestnut Brown)",86987,Chesterfield,Velvet,Brown,36,4,Yes,0,Wooden Street,182.9,72.4,76.2,5,5
"Berlin Fabric Sofa Set
(Velvet, Mulberry Pink)",86987,Chesterfield,Velvet,Purple,36,4,Yes,0,Wooden Street,182.9,72.4,76.2,5,5
"Berlin Fabric Sofa Set
(Velvet, Dark Olive Green)",86987,Chesterfield,Velvet,Green,36,4,Yes,0,Wooden Street,182.9,72.4,76.2,5,5
"Aspire 5 Seater Modern Curved Fabric Sofa
(Cotton, Jade Ivory)",85989,Modern,Cotton,Cream,36,3,0,Curved,Wooden Street,279.4,81.3,73.7,5,5
"Sapphire 3 Seater Living Room Sofa with 2 Lounge Chairs and 4 Cushions
(Creamy Cocoa Collection)",85898,Modern,Velvet,Yellow,36,4,0,0,Wooden Street,238.8,83.8,76.2,4.5,36
"Sapphire 3 Seater Living Room Sofa with 2 Lounge Chairs and 4 Cushions
(Lush Collection)",85898,Modern,Velvet,Green,36,4,0,0,Wooden Street,238.8,83.8,76.2,4.5,36
"Sapphire 3 Seater Living Room Sofa with 2 Lounge Chairs and 4 Cushions
(Smoky Collection)",85898,Modern,Velvet,Grey,36,4,0,0,Wooden Street,238.8,83.8,76.2,4.5,36
"Sapphire 3 Seater Living Room Sofa with 2 Lounge Chairs and 4 Cushions
(Shadow Collection)",85898,Modern,Velvet,Blue,36,4,0,0,Wooden Street,238.8,83.8,76.2,4.5,36
"Sapphire 3 Seater Living Room Sofa with 2 Lounge Chairs and 4 Cushions
(Meadow Collection)",84999,Modern,Cotton,Green,36,4,0,0,Wooden Street,238.8,83.8,76.2,4.5,36
"Aldean Fabric Sofa Set
(Indigo Blue)",83989,Rolled arm,Velvet,Blue,36,4,0,0,Wooden Street,193.0,81.3,83.8,5,15
"Aldean Fabric Sofa Set
(Graphite Grey)",83989,Rolled arm,Velvet,Grey,36,4,0,0,Wooden Street,193.0,81.3,83.8,5,15
"Aldean Fabric Sofa Set
(Chestnut Brown)",83989,Rolled arm,Velvet,Brown,36,4,0,0,Wooden Street,193.0,81.3,83.8,5,15
"Apolo 3 Seater Living Room Sofa with 2 Lounge Chairs and 5 Cushions
(Safari Collection)",83483,Contemporary,Cotton,Cream,36,4,0,0,Wooden Street,0,0,0,4.7,14
"Albert Fabric Sofa Set
(Velvet, Chestnut Brown)",82789,Contemporary,Velvet,Brown,36,4,Yes,0,Wooden Street,208.3,96.5,83.8,0,0
"Albert Fabric Sofa Set
(Velvet, Graphite Grey)",82789,Contemporary,Velvet,Grey,36,4,Yes,0,Wooden Street,208.3,96.5,83.8,0,0
"Albert Fabric Sofa Set
(Velvet, Indigo Blue)",82789,Contemporary,Velvet,Blue,36,4,Yes,0,Wooden Street,208.3,96.5,83.8,0,0
"Albert Fabric Sofa Set
(Velvet, Mulberry Pink)",82789,Contemporary,Velvet,Purple,36,4,Yes,0,Wooden Street,208.3,96.5,83.8,0,0
"Albert Fabric Sofa Set
(Velvet, Dark Olive Green)",82789,Contemporary,Velvet,Green,36,4,Yes,0,Wooden Street,208.3,96.5,83.8,0,0
"Ivanka Left Aligned 3 Seater Velvet Sofa With Lounger
(Blue Upholstery)",80948,Chesterfield,Velvet,Blue,12,0,0,0,Vittoria,91.4,177.8,81.3,0,0
"Ivanka RHS 3 Seater Velvet Sofa With Lounger
(Blue Upholstery)",80948,Chesterfield,Velvet,Blue,12,0,0,0,Vittoria,91.4,177.8,81.3,0,0
"Valencia L Shape Left Aligned Sofa
(Velvet, Pink Upholstery)",80948,Modern,Velvet,Pink,12,0,0,0,Vittoria,88.9,198.1,78.7,4.4,22
"Oasis L-Shape Left Aligned Sectional Sofa
(Cotton, Iris Blue)",79989,Modern,Cotton,Blue,36,0,0,0,Wooden Street,309.9,81.3,73.7,4.8,129
"Oasis L-Shape Left Aligned Sectional Sofa
(Cotton, Persian Plum)",79989,Modern,Cotton,Red,36,0,0,0,Wooden Street,309.9,81.3,73.7,4.8,129
"Oasis L-Shape Left Aligned Sectional Sofa
(Cotton, Sand Beige)",79989,Modern,Cotton,Beige,36,0,0,0,Wooden Street,309.9,81.3,73.7,4.8,129
"Oasis L-Shape Left Aligned Sectional Sofa
(Cotton, Sand Grey)",79989,Modern,Cotton,Grey,36,0,0,0,Wooden Street,309.9,81.3,73.7,4.8,129
"Oasis L-Shape Left Aligned Sectional Sofa
(Cotton, Jade Ivory)",79989,Modern,Cotton,Beige,36,0,0,0,Wooden Street,309.9,81.3,73.7,4.8,129
"Oasis L-Shape Right Aligned Sectional Sofa
(Cotton, Persian Plum)",79989,Modern,Cotton,Red,36,0,0,0,Wooden Street,309.9,81.3,73.7,4.5,201
"Oasis L-Shape Right Aligned Sectional Sofa
(Cotton, Iris Blue)",79989,Modern,Cotton,Blue,36,0,0,0,Wooden Street,309.9,81.3,73.7,4.5,201
"Oasis L-Shape Right Aligned Sectional Sofa
(Cotton, Jade Ivory)",79989,Modern,Cotton,Beige,36,0,0,0,Wooden Street,309.9,81.3,73.7,4.5,201
"Oasis L-Shape Right Aligned Sectional Sofa
(Cotton, Sand Grey)",79989,Modern,Cotton,Grey,36,0,0,0,Wooden Street,309.9,81.3,73.7,4.5,201
"Oasis L-Shape Right Aligned Sectional Sofa
(Cotton, Sand Beige)",79989,Modern,Cotton,Beige,36,0,0,0,Wooden Street,309.9,81.3,73.7,4.5,201
"Henry Left Aligned Convertible Sofa Cum Bed with Storage
(Velvet, Graphite Grey)",78989,Chesterfield,Velvet,Grey,36,0,Yes,L - Shape,Wooden Street,275.6,156.2,76.2,4.9,54
"Henry Sectional L -Shape Corner Sofa
(Velvet, Chestnut Brown)",78989,Chesterfield,Velvet,Yellow,36,0,Yes,L - Shape,Wooden Street,193.0,81.3,76.2,5,20
"Henry Sectional L -Shape Corner Sofa
(Velvet, Indigo Blue)",78989,Chesterfield,Velvet,Blue,36,0,Yes,L - Shape,Wooden Street,193.0,81.3,76.2,5,20
"Henry Sectional L -Shape Corner Sofa
(Velvet, Graphite Grey)",78989,Chesterfield,Velvet,Grey,36,0,Yes,L - Shape,Wooden Street,193.0,81.3,76.2,5,20
"Henry Sectional L -Shape Corner Sofa
(Velvet, Mulberry Pink)",78989,Chesterfield,Velvet,Purple,36,0,Yes,L - Shape,Wooden Street,193.0,81.3,76.2,5,20
"Henry Sectional L -Shape Corner Sofa
(Velvet, Dark Olive Green)",78989,Chesterfield,Velvet,Green,36,0,Yes,L - Shape,Wooden Street,193.0,81.3,76.2,5,20
"Henry Left Aligned Convertible Sofa Cum Bed with Storage
(Velvet, Chestnut Brown)",78989,Chesterfield,Velvet,Brown,36,0,Yes,L - Shape,Wooden Street,275.6,156.2,76.2,4.9,54
"Henry Right Aligned Convertible Sofa Cum Bed with Storage
(Velvet, Chestnut Brown)",78989,Chesterfield,Velvet,Brown,36,0,Yes,L - Shape,Wooden Street,275.6,156.2,76.2,4.7,56
"Henry Right Aligned Convertible Sofa Cum Bed with Storage
(Velvet, Indigo Blue)",78989,Chesterfield,Velvet,Blue,36,0,Yes,L - Shape,Wooden Street,275.6,156.2,76.2,4.7,56
"Henry Right Aligned Convertible Sofa Cum Bed with Storage
(Velvet, Salmon Pink)",78989,Chesterfield,Velvet,Pink,36,0,Yes,L - Shape,Wooden Street,275.6,156.2,76.2,4.7,56
"Apolo 3 Seater Living Room Sofa with 2 Lounge Chairs and 4 Cushions
(Palm Collection)",77963,Contemporary,Cotton,Green,36,4,0,0,Wooden Street,0,0,0,4.8,77
"Haiden Right Aligned Sofa With Adjustable Headrests
(Velvet, Pink)",77644,Modern,Velvet,Pink,12,0,0,0,Vittoria,88.9,154.9,76.2,0,0
"Haiden Right Aligned Sofa With Adjustable Headrests
(Leatherette, Brown Upholstery)",77644,Modern,Leatherette,Brown,12,0,0,0,Vittoria,88.9,154.9,76.2,0,0
"Haiden Left Aligned Sofa With Adjustable Headrests
(Leatherette, Pink Upholstery)",77644,Modern,Leatherette,Pink,12,0,0,0,Vittoria,88.9,154.9,76.2,4.6,32
"Oasis L-Shape Right Aligned Sectional Sofa
(Velvet, Indigo Blue)",76989,Modern,Velvet,Blue,36,0,0,0,Wooden Street,309.9,81.3,73.7,4.5,201
"Oasis L-Shape Right Aligned Sectional Sofa
(Velvet, Graphite Grey)",76989,Modern,Velvet,Grey,36,0,0,0,Wooden Street,309.9,81.3,73.7,4.5,201
"Oasis L-Shape Right Aligned Sectional Sofa
(Velvet,Dark Olive Green)",76989,Modern,Velvet,Green,36,0,0,0,Wooden Street,309.9,81.3,73.7,4.5,201
"Oasis L-Shape Right Aligned Sectional Sofa
(Velvet, Chestnut Brown)",76989,Modern,Velvet,Yellow,36,0,0,0,Wooden Street,309.9,81.3,73.7,4.5,201
"Oasis L-Shape Left Aligned Sectional Sofa
(Velvet, Chestnut Brown)",76989,Modern,Velvet,Yellow,36,0,0,0,Wooden Street,309.9,81.3,73.7,4.8,129
"Oasis L-Shape Left Aligned Sectional Sofa
(Velvet, Graphite Grey)",76989,Modern,Velvet,Grey,36,0,0,0,Wooden Street,309.9,81.3,73.7,4.8,129
"Oasis L-Shape Left Aligned Sectional Sofa
(Velvet, Indigo Blue)",76989,Modern,Velvet,Blue,36,0,0,0,Wooden Street,309.9,81.3,73.7,4.8,129
"Oasis L-Shape Left Aligned Sectional Sofa
(Velvet, Dark Olive Green)",76989,Modern,Velvet,Green,36,0,0,0,Wooden Street,309.9,81.3,73.7,4.8,129
"Apolo 3 Seater Living Room Sofa with 2 Lounge Chairs and 4 Cushions
(Gardenia Collection)",75963,Contemporary,Cotton,Cream,36,4,0,0,Wooden Street,198.1,76.2,78.7,4.8,77
"Apolo 3 Seater Living Room Sofa with 2 Lounge Chairs and 4 Cushions
(Azure Collection)",75963,Contemporary,Cotton,Blue,36,4,0,0,Wooden Street,198.1,76.2,78.7,4.8,77
"Apolo 3 Seater Living Room Sofa with 2 Lounge Chairs and 4 Cushions
(Iceberg Collection)",75963,Contemporary,Cotton,Cream,36,4,0,0,Wooden Street,198.1,76.2,78.7,4.8,77
"Apolo 3 Seater Living Room Sofa with 2 Lounge Chairs and 4 Cushions
(Cosmic Collection)",75963,Contemporary,Cotton,Red,36,4,0,0,Wooden Street,198.1,76.2,78.7,4.8,77
"Apolo 3 Seater Living Room Sofa with 2 Lounge Chairs and 4 Cushions
(Calamine Collection)",75963,Contemporary,Cotton,Cream,36,4,0,0,Wooden Street,198.1,76.2,78.7,4.8,77
"Apolo 3 Seater Living Room Sofa with 2 Lounge Chairs and 4 Cushions
(Blush Collection)",75962,Contemporary,Cotton,Red,36,4,0,0,Wooden Street,198.1,76.2,78.7,4.8,77
"Adley 3+1+1 Fabric Sofa Set
(Velvet, Chestnut Brown)",74989,Contemporary,Velvet,Brown,36,4,Yes,0,Wooden Street,208.3,76.2,76.2,0,0
"Adley 3+1+1 Fabric Sofa Set
(Velvet, Graphite Grey)",74989,Contemporary,Velvet,Grey,36,4,Yes,0,Wooden Street,208.3,76.2,76.2,0,0
"Adley 3+1+1 Fabric Sofa Set
(Velvet, Indigo Blue)",74989,Contemporary,Velvet,Blue,36,4,Yes,0,Wooden Street,208.3,76.2,76.2,0,0
"Adley 3+1+1 Fabric Sofa Set
(Velvet, Dark Olive Green)",74989,Contemporary,Velvet,Green,36,4,Yes,0,Wooden Street,208.3,76.2,76.2,0,0
"Adley 3+1+1 Fabric Sofa Set
(Velvet, Mulberry Pink)",74989,Contemporary,Velvet,Purple,36,4,Yes,0,Wooden Street,208.3,76.2,76.2,0,0
"Advay 3 Seater Living Room Sofa Set
(Twilight Collection)",74889,Modern,Cotton,Red,36,3,0,0,Wooden Street,182.9,66.0,78.7,0,0
"Norvin Fabric Sofa Set
(Velvet, Chestnut Brown)",72989,Chesterfield,Velvet,Brown,36,4,Yes,0,Wooden Street,0,0,0,0,0
"Norvin Fabric Sofa Set
(Velvet, Dark Olive Green)",72989,Chesterfield,Velvet,Green,36,4,Yes,0,Wooden Street,0,0,0,0,0
"Norvin Fabric Sofa Set
(Velvet, Graphite Grey)",72989,Chesterfield,Velvet,Grey,36,4,Yes,0,Wooden Street,0,0,0,0,0
"Norvin Fabric Sofa Set
(Velvet, Indigo Blue)",72989,Chesterfield,Velvet,Blue,36,4,Yes,0,Wooden Street,0,0,0,0,0
"Eldric Fabric Sofa Set
(Velvet, Chestnut Brown)",70987,Contemporary,Velvet,Brown,36,4,Yes,0,Wooden Street,203.2,76.2,76.2,5,15
"Eldric Fabric Sofa Set
(Velvet, Dark Olive Green)",70987,Contemporary,Velvet,Green,36,4,Yes,0,Wooden Street,203.2,76.2,76.2,5,15
"Eldric Fabric Sofa Set
(Velvet, Mulberry Pink)",70987,Contemporary,Velvet,Pink,36,4,Yes,0,Wooden Street,203.2,76.2,76.2,5,15
"Eldric Fabric Sofa Set
(Velvet, Indigo Blue)",70987,Contemporary,Velvet,Blue,36,4,Yes,0,Wooden Street,203.2,76.2,76.2,5,15
"Eldric Fabric Sofa Set
(Velvet, Graphite Grey)",70987,Contemporary,Velvet,Grey,36,4,Yes,0,Wooden Street,203.2,76.2,76.2,5,15
"Henry L - Shape Right Aligned Corner Sofa
(Velvet, Chestnut Brown)",68989,Chesterfield,Velvet,Brown,36,0,Yes,L - Shape,Wooden Street,275.6,82.6,78.7,4.8,327
"Henry L - Shape Left Aligned Corner Sofa
(Velvet, Indigo Blue)",68989,Chesterfield,Velvet,Blue,36,0,Yes,L - Shape,Wooden Street,275.6,82.6,78.7,4.8,441
"Henry L - Shape Right Aligned Corner Sofa
(Velvet, Graphite Grey)",68989,Chesterfield,Velvet,Grey,36,0,Yes,L - Shape,Wooden Street,275.6,82.6,78.7,4.8,327
"Henry L - Shape Right Aligned Corner Sofa
(Velvet, Indigo Blue)",68989,Chesterfield,Velvet,Blue,36,0,Yes,L - Shape,Wooden Street,275.6,82.6,78.7,4.8,327
"Berlin L - Shape Right Aligned Corner Sofa
(Velvet, Indigo Blue)",68989,Chesterfield,Velvet,Blue,36,0,Yes,L - Shape,Wooden Street,182.9,76.2,76.2,4.7,84
"Berlin L - Shape Right Aligned Corner Sofa
(Velvet, Mulberry Pink)",68989,Chesterfield,Velvet,Purple,36,0,Yes,L - Shape,Wooden Street,182.9,76.2,76.2,4.7,84
"Berlin L - Shape Right Aligned Corner Sofa
(Velvet, Dark Olive Green)",68989,Chesterfield,Velvet,Green,36,0,Yes,L - Shape,Wooden Street,182.9,76.2,76.2,4.7,84
"Henry L - Shape Right Aligned Corner Sofa
(Velvet, Mulberry Pink)",68989,Chesterfield,Velvet,Purple,36,0,Yes,L - Shape,Wooden Street,275.6,82.6,78.7,4.8,327
"Henry L - Shape Right Aligned Corner Sofa
(Velvet, Dark Olive Green)",68989,Chesterfield,Velvet,Green,36,0,Yes,L - Shape,Wooden Street,275.6,82.6,78.7,4.8,327
"Henry L - Shape Left Aligned Corner Sofa
(Velvet, Chestnut Brown)",68989,Chesterfield,Velvet,Brown,36,0,Yes,L - Shape,Wooden Street,275.6,82.6,78.7,4.8,441
"Henry L - Shape Left Aligned Corner Sofa
(Velvet, Graphite Grey)",68989,Chesterfield,Velvet,Grey,36,0,Yes,L - Shape,Wooden Street,275.6,82.6,78.7,4.8,441
"Berlin L - Shape Right Aligned Corner Sofa
(Velvet, Graphite Grey)",68989,Chesterfield,Velvet,Grey,36,0,Yes,L - Shape,Wooden Street,182.9,76.2,76.2,4.7,84
"Henry L - Shape Left Aligned Corner Sofa
(Velvet, Mulberry Pink)",68989,Chesterfield,Velvet,Purple,36,0,Yes,L - Shape,Wooden Street,275.6,82.6,78.7,4.8,441
"Henry L - Shape Left Aligned Corner Sofa
(Velvet, Dark Olive Green)",68989,Chesterfield,Velvet,Green,36,0,Yes,L - Shape,Wooden Street,275.6,82.6,78.7,4.8,441
"Orlando Fabric Sofa Set
(Chestnut Brown)",68989,Modern,Velvet,Brown,36,4,0,0,Wooden Street,193.0,76.2,81.3,0,0
"Orlando Fabric Sofa Set
(Indigo Blue)",68989,Modern,Velvet,Blue,36,4,0,0,Wooden Street,193.0,76.2,81.3,0,0
"Orlando Fabric Sofa Set
(Graphite Grey)",68989,Chesterfield,Velvet,Grey,36,4,0,0,Wooden Street,193.0,76.2,81.3,0,0
"Solace L-Shaped 3 Seater Wooden Sofa with Washable Zipper Cover
(Honey Finish)",68699,0,Sheesham wood,Grey,36,0,Yes,L - Shape,Wooden Street,218.4,86.4,78.7,4.9,93
Alpine Comfort Set,66599,Modern,Cotton,Blue,36,3,0,0,Wooden Street,182.9,76.2,76.2,0,0
Earthen Comfort Set,66599,Chesterfield,Cotton,White,36,3,0,0,Wooden Street,198.1,81.3,76.2,0,0
"Audrey 6 Seater L Shape Corner Sofa Set with Washable Zipper Cover
(Walnut Finish)",66599,0,Sheesham wood,Cream,36,0,Yes,L - Shape,Wooden Street,261.6,180.3,71.1,4.9,78
"Audrey 6 Seater L Shape Corner Sofa Set with Washable Zipper Cover
(Honey Finish)",66599,0,Sheesham wood,Cream,36,0,Yes,L - Shape,Wooden Street,261.6,180.3,71.1,4.9,78
"Memento 3 Seater Wooden Sofa with Cotton and Leatherette Upholstery
(Ginger Bread)",62989,Modern,Ash wood,Brown,36,3,Yes,0,Wooden Street,226.1,88.9,78.7,4.5,9
Mariam 3 Seater Living Room Sofa with Arm Chairs,61599,Rolled arm,Velvet,Grey,36,3,0,0,Wooden Street,208.3,81.3,71.1,5,10
"Argos L - Shape Left Aligned Corner Sofa
(Indigo Ink)",61499,0,Cotton,Blue,36,0,0,0,Wooden Street,248.9,213.4,83.8,5,10
"Argos L - Shape Left Aligned Corner Sofa
(Warm Grey)",61499,0,Cotton,Grey,36,0,0,0,Wooden Street,248.9,213.4,83.8,5,10
"Argos L - Shape Right Aligned Corner Sofa
(Indigo Ink)",61499,0,Cotton,Blue,36,0,0,0,Wooden Street,248.9,213.4,83.8,0,0
